recording,monkey,day,analysis,method,true_direction,predicted_direction,fraction
monkeyM_session-o080506002-22_lfp-1,M,2008-05-06,matched_long,torus_power_frequency,2,3,0.2068965517241379
monkeyM_session-o080506002-22_lfp-1,M,2008-05-06,matched_long,torus_power_frequency,2,4,0.1379310344827586
monkeyM_session-o080506002-22_lfp-1,M,2008-05-06,matched_long,torus_power_frequency,2,5,0.1379310344827586
monkeyM_session-o080506002-22_lfp-1,M,2008-05-06,matched_long,torus_power_frequency,2,6,0.2068965517241379
monkeyM_session-o080506002-22_lfp-1,M,2008-05-06,matched_long,torus_power_frequency,3,1,0.0689655172413793
monkeyM_session-o080506002-22_lfp-1,M,2008-05-06,matched_long,torus_power_frequency,3,2,0.1724137931034483
monkeyM_session-o080506002-22_lfp-1,M,2008-05-06,matched_long,torus_power_frequency,3,3,0.2068965517241379
monkeyM_session-o080506002-22_lfp-1,M,2008-05-06,matched_long,torus_power_frequency,3,4,0.2758620689655172
monkeyM_session-o080506002-22_lfp-1,M,2008-05-06,matched_long,torus_power_frequency,3,5,0.1724137931034483
monkeyM_session-o080506002-22_lfp-1,M,2008-05-06,matched_long,torus_power_frequency,3,6,0.1034482758620689
monkeyM_session-o080506002-22_lfp-1,M,2008-05-06,matched_long,torus_power_frequency,4,1,0.0689655172413793
monkeyM_session-o080506002-22_lfp-1,M,2008-05-06,matched_long,torus_power_frequency,4,2,0.0
monkeyM_session-o080506002-22_lfp-1,M,2008-05-06,matched_long,torus_power_frequency,4,3,0.3103448275862069
monkeyM_session-o080506002-22_lfp-1,M,2008-05-06,matched_long,torus_power_frequency,4,4,0.3448275862068966
monkeyM_session-o080506002-22_lfp-1,M,2008-05-06,matched_long,torus_power_frequency,4,5,0.2068965517241379
monkeyM_session-o080506002-22_lfp-1,M,2008-05-06,matched_long,torus_power_frequency,4,6,0.0689655172413793
monkeyM_session-o080506002-22_lfp-1,M,2008-05-06,matched_long,torus_power_frequency,5,1,0.0689655172413793
monkeyM_session-o080506002-22_lfp-1,M,2008-05-06,matched_long,torus_power_frequency,5,2,0.1034482758620689
monkeyM_session-o080506002-22_lfp-1,M,2008-05-06,matched_long,torus_power_frequency,5,3,0.1379310344827586
monkeyM_session-o080506002-22_lfp-1,M,2008-05-06,matched_long,torus_power_frequency,5,4,0.3793103448275862
monkeyM_session-o080506002-22_lfp-1,M,2008-05-06,matched_long,torus_power_frequency,5,5,0.1724137931034483
monkeyM_session-o080506002-22_lfp-1,M,2008-05-06,matched_long,torus_power_frequency,5,6,0.1379310344827586
monkeyM_session-o080506002-22_lfp-1,M,2008-05-06,matched_long,torus_power_frequency,6,1,0.1379310344827586
monkeyM_session-o080506002-22_lfp-1,M,2008-05-06,matched_long,torus_power_frequency,6,2,0.0689655172413793
monkeyM_session-o080506002-22_lfp-1,M,2008-05-06,matched_long,torus_power_frequency,6,3,0.2413793103448276
monkeyM_session-o080506002-22_lfp-1,M,2008-05-06,matched_long,torus_power_frequency,6,4,0.1724137931034483
monkeyM_session-o080506002-22_lfp-1,M,2008-05-06,matched_long,torus_power_frequency,6,5,0.2758620689655172
monkeyM_session-o080506002-22_lfp-1,M,2008-05-06,matched_long,torus_power_frequency,6,6,0.1034482758620689
monkeyM_session-o080506002-22_lfp-1,M,2008-05-06,matched_short,all_bands,1,1,0.1724137931034483
monkeyM_session-o080506002-22_lfp-1,M,2008-05-06,matched_short,all_bands,1,2,0.2068965517241379
monkeyM_session-o080506002-22_lfp-1,M,2008-05-06,matched_short,all_bands,1,3,0.2758620689655172
monkeyM_session-o080506002-22_lfp-1,M,2008-05-06,matched_short,all_bands,1,4,0.0689655172413793
monkeyM_session-o080506002-22_lfp-1,M,2008-05-06,matched_short,all_bands,1,5,0.1379310344827586
monkeyM_session-o080506002-22_lfp-1,M,2008-05-06,matched_short,all_bands,1,6,0.1379310344827586
monkeyM_session-o080506002-22_lfp-1,M,2008-05-06,matched_short,all_bands,2,1,0.2413793103448276
monkeyM_session-o080506002-22_lfp-1,M,2008-05-06,matched_short,all_bands,2,2,0.1724137931034483
monkeyM_session-o080506002-22_lfp-1,M,2008-05-06,matched_short,all_bands,2,3,0.2068965517241379
monkeyM_session-o080506002-22_lfp-1,M,2008-05-06,matched_short,all_bands,2,4,0.1034482758620689
monkeyM_session-o080506002-22_lfp-1,M,2008-05-06,matched_short,all_bands,2,5,0.1724137931034483
monkeyM_session-o080506002-22_lfp-1,M,2008-05-06,matched_short,all_bands,2,6,0.1034482758620689
monkeyM_session-o080506002-22_lfp-1,M,2008-05-06,matched_short,all_bands,3,1,0.2413793103448276
monkeyM_session-o080506002-22_lfp-1,M,2008-05-06,matched_short,all_bands,3,2,0.1724137931034483
monkeyM_session-o080506002-22_lfp-1,M,2008-05-06,matched_short,all_bands,3,3,0.2068965517241379
monkeyM_session-o080506002-22_lfp-1,M,2008-05-06,matched_short,all_bands,3,4,0.0344827586206896
monkeyM_session-o080506002-22_lfp-1,M,2008-05-06,matched_short,all_bands,3,5,0.2068965517241379
monkeyM_session-o080506002-22_lfp-1,M,2008-05-06,matched_short,all_bands,3,6,0.1379310344827586
monkeyM_session-o080506002-22_lfp-1,M,2008-05-06,matched_short,all_bands,4,1,0.1034482758620689
monkeyM_session-o080506002-22_lfp-1,M,2008-05-06,matched_short,all_bands,4,2,0.2758620689655172
monkeyM_session-o080506002-22_lfp-1,M,2008-05-06,matched_short,all_bands,4,3,0.1034482758620689
monkeyM_session-o080506002-22_lfp-1,M,2008-05-06,matched_short,all_bands,4,4,0.2068965517241379
monkeyM_session-o080506002-22_lfp-1,M,2008-05-06,matched_short,all_bands,4,5,0.2068965517241379
monkeyM_session-o080506002-22_lfp-1,M,2008-05-06,matched_short,all_bands,4,6,0.1034482758620689
monkeyM_session-o080506002-22_lfp-1,M,2008-05-06,matched_short,all_bands,5,1,0.0689655172413793
monkeyM_session-o080506002-22_lfp-1,M,2008-05-06,matched_short,all_bands,5,2,0.2758620689655172
monkeyM_session-o080506002-22_lfp-1,M,2008-05-06,matched_short,all_bands,5,3,0.0689655172413793
monkeyM_session-o080506002-22_lfp-1,M,2008-05-06,matched_short,all_bands,5,4,0.2413793103448276
monkeyM_session-o080506002-22_lfp-1,M,2008-05-06,matched_short,all_bands,5,5,0.3103448275862069
monkeyM_session-o080506002-22_lfp-1,M,2008-05-06,matched_short,all_bands,5,6,0.0344827586206896
monkeyM_session-o080506002-22_lfp-1,M,2008-05-06,matched_short,all_bands,6,1,0.2413793103448276
monkeyM_session-o080506002-22_lfp-1,M,2008-05-06,matched_short,all_bands,6,2,0.0689655172413793
monkeyM_session-o080506002-22_lfp-1,M,2008-05-06,matched_short,all_bands,6,3,0.2068965517241379
monkeyM_session-o080506002-22_lfp-1,M,2008-05-06,matched_short,all_bands,6,4,0.1034482758620689
monkeyM_session-o080506002-22_lfp-1,M,2008-05-06,matched_short,all_bands,6,5,0.2758620689655172
monkeyM_session-o080506002-22_lfp-1,M,2008-05-06,matched_short,all_bands,6,6,0.1034482758620689
monkeyM_session-o080506002-22_lfp-1,M,2008-05-06,matched_short,peak_frequency,1,1,0.4482758620689655
monkeyM_session-o080506002-22_lfp-1,M,2008-05-06,matched_short,peak_frequency,1,2,0.0344827586206896
monkeyM_session-o080506002-22_lfp-1,M,2008-05-06,matched_short,peak_frequency,1,3,0.1724137931034483
monkeyM_session-o080506002-22_lfp-1,M,2008-05-06,matched_short,peak_frequency,1,4,0.2068965517241379
monkeyM_session-o080506002-22_lfp-1,M,2008-05-06,matched_short,peak_frequency,1,5,0.0344827586206896
monkeyM_session-o080506002-22_lfp-1,M,2008-05-06,matched_short,peak_frequency,1,6,0.1034482758620689
monkeyM_session-o080506002-22_lfp-1,M,2008-05-06,matched_short,peak_frequency,2,1,0.4827586206896552
monkeyM_session-o080506002-22_lfp-1,M,2008-05-06,matched_short,peak_frequency,2,2,0.0
monkeyM_session-o080506002-22_lfp-1,M,2008-05-06,matched_short,peak_frequency,2,3,0.0344827586206896
monkeyM_session-o080506002-22_lfp-1,M,2008-05-06,matched_short,peak_frequency,2,4,0.1379310344827586
monkeyM_session-o080506002-22_lfp-1,M,2008-05-06,matched_short,peak_frequency,2,5,0.0
monkeyM_session-o080506002-22_lfp-1,M,2008-05-06,matched_short,peak_frequency,2,6,0.3448275862068966
monkeyM_session-o080506002-22_lfp-1,M,2008-05-06,matched_short,peak_frequency,3,1,0.4137931034482758
monkeyM_session-o080506002-22_lfp-1,M,2008-05-06,matched_short,peak_frequency,3,2,0.0689655172413793
monkeyM_session-o080506002-22_lfp-1,M,2008-05-06,matched_short,peak_frequency,3,3,0.1379310344827586
monkeyM_session-o080506002-22_lfp-1,M,2008-05-06,matched_short,peak_frequency,3,4,0.1034482758620689
monkeyM_session-o080506002-22_lfp-1,M,2008-05-06,matched_short,peak_frequency,3,5,0.0689655172413793
monkeyM_session-o080506002-22_lfp-1,M,2008-05-06,matched_short,peak_frequency,3,6,0.2068965517241379
monkeyM_session-o080506002-22_lfp-1,M,2008-05-06,matched_short,peak_frequency,4,1,0.4482758620689655
monkeyM_session-o080506002-22_lfp-1,M,2008-05-06,matched_short,peak_frequency,4,2,0.1034482758620689
monkeyM_session-o080506002-22_lfp-1,M,2008-05-06,matched_short,peak_frequency,4,3,0.1724137931034483
monkeyM_session-o080506002-22_lfp-1,M,2008-05-06,matched_short,peak_frequency,4,4,0.0689655172413793
monkeyM_session-o080506002-22_lfp-1,M,2008-05-06,matched_short,peak_frequency,4,5,0.0
monkeyM_session-o080506002-22_lfp-1,M,2008-05-06,matched_short,peak_frequency,4,6,0.2068965517241379
monkeyM_session-o080506002-22_lfp-1,M,2008-05-06,matched_short,peak_frequency,5,1,0.2758620689655172
monkeyM_session-o080506002-22_lfp-1,M,2008-05-06,matched_short,peak_frequency,5,2,0.1034482758620689
monkeyM_session-o080506002-22_lfp-1,M,2008-05-06,matched_short,peak_frequency,5,3,0.2758620689655172
monkeyM_session-o080506002-22_lfp-1,M,2008-05-06,matched_short,peak_frequency,5,4,0.0689655172413793
monkeyM_session-o080506002-22_lfp-1,M,2008-05-06,matched_short,peak_frequency,5,5,0.0689655172413793
monkeyM_session-o080506002-22_lfp-1,M,2008-05-06,matched_short,peak_frequency,5,6,0.2068965517241379
monkeyM_session-o080506002-22_lfp-1,M,2008-05-06,matched_short,peak_frequency,6,1,0.4137931034482758
monkeyM_session-o080506002-22_lfp-1,M,2008-05-06,matched_short,peak_frequency,6,2,0.0689655172413793
monkeyM_session-o080506002-22_lfp-1,M,2008-05-06,matched_short,peak_frequency,6,3,0.0689655172413793
monkeyM_session-o080506002-22_lfp-1,M,2008-05-06,matched_short,peak_frequency,6,4,0.1379310344827586
monkeyM_session-o080506002-22_lfp-1,M,2008-05-06,matched_short,peak_frequency,6,5,0.0
monkeyM_session-o080506002-22_lfp-1,M,2008-05-06,matched_short,peak_frequency,6,6,0.3103448275862069
monkeyM_session-o080506002-22_lfp-1,M,2008-05-06,matched_short,peak_power,1,1,0.1379310344827586
monkeyM_session-o080506002-22_lfp-1,M,2008-05-06,matched_short,peak_power,1,2,0.2413793103448276
monkeyM_session-o080506002-22_lfp-1,M,2008-05-06,matched_short,peak_power,1,3,0.0344827586206896
monkeyM_session-o080506002-22_lfp-1,M,2008-05-06,matched_short,peak_power,1,4,0.1034482758620689
monkeyM_session-o080506002-22_lfp-1,M,2008-05-06,matched_short,peak_power,1,5,0.2068965517241379
monkeyM_session-o080506002-22_lfp-1,M,2008-05-06,matched_short,peak_power,1,6,0.2758620689655172
monkeyM_session-o080506002-22_lfp-1,M,2008-05-06,matched_short,peak_power,2,1,0.0689655172413793
monkeyM_session-o080506002-22_lfp-1,M,2008-05-06,matched_short,peak_power,2,2,0.3448275862068966
monkeyM_session-o080506002-22_lfp-1,M,2008-05-06,matched_short,peak_power,2,3,0.1034482758620689
monkeyM_session-o080506002-22_lfp-1,M,2008-05-06,matched_short,peak_power,2,4,0.2413793103448276
monkeyM_session-o080506002-22_lfp-1,M,2008-05-06,matched_short,peak_power,2,5,0.1724137931034483
monkeyM_session-o080506002-22_lfp-1,M,2008-05-06,matched_short,peak_power,2,6,0.0689655172413793
monkeyM_session-o080506002-22_lfp-1,M,2008-05-06,matched_short,peak_power,3,1,0.1379310344827586
monkeyM_session-o080506002-22_lfp-1,M,2008-05-06,matched_short,peak_power,3,2,0.2413793103448276
monkeyM_session-o080506002-22_lfp-1,M,2008-05-06,matched_short,peak_power,3,3,0.0344827586206896
monkeyM_session-o080506002-22_lfp-1,M,2008-05-06,matched_short,peak_power,3,4,0.2413793103448276
monkeyM_session-o080506002-22_lfp-1,M,2008-05-06,matched_short,peak_power,3,5,0.2758620689655172
monkeyM_session-o080506002-22_lfp-1,M,2008-05-06,matched_short,peak_power,3,6,0.0689655172413793
monkeyM_session-o080506002-22_lfp-1,M,2008-05-06,matched_short,peak_power,4,1,0.1034482758620689
monkeyM_session-o080506002-22_lfp-1,M,2008-05-06,matched_short,peak_power,4,2,0.2068965517241379
monkeyM_session-o080506002-22_lfp-1,M,2008-05-06,matched_short,peak_power,4,3,0.0689655172413793
monkeyM_session-o080506002-22_lfp-1,M,2008-05-06,matched_short,peak_power,4,4,0.2758620689655172
monkeyM_session-o080506002-22_lfp-1,M,2008-05-06,matched_short,peak_power,4,5,0.1379310344827586
monkeyM_session-o080506002-22_lfp-1,M,2008-05-06,matched_short,peak_power,4,6,0.2068965517241379
monkeyM_session-o080506002-22_lfp-1,M,2008-05-06,matched_short,peak_power,5,1,0.2413793103448276
monkeyM_session-o080506002-22_lfp-1,M,2008-05-06,matched_short,peak_power,5,2,0.2758620689655172
monkeyM_session-o080506002-22_lfp-1,M,2008-05-06,matched_short,peak_power,5,3,0.0689655172413793
monkeyM_session-o080506002-22_lfp-1,M,2008-05-06,matched_short,peak_power,5,4,0.1724137931034483
monkeyM_session-o080506002-22_lfp-1,M,2008-05-06,matched_short,peak_power,5,5,0.0689655172413793
monkeyM_session-o080506002-22_lfp-1,M,2008-05-06,matched_short,peak_power,5,6,0.1724137931034483
monkeyM_session-o080506002-22_lfp-1,M,2008-05-06,matched_short,peak_power,6,1,0.1379310344827586
monkeyM_session-o080506002-22_lfp-1,M,2008-05-06,matched_short,peak_power,6,2,0.2413793103448276
monkeyM_session-o080506002-22_lfp-1,M,2008-05-06,matched_short,peak_power,6,3,0.0344827586206896
monkeyM_session-o080506002-22_lfp-1,M,2008-05-06,matched_short,peak_power,6,4,0.1724137931034483
monkeyM_session-o080506002-22_lfp-1,M,2008-05-06,matched_short,peak_power,6,5,0.1379310344827586
monkeyM_session-o080506002-22_lfp-1,M,2008-05-06,matched_short,peak_power,6,6,0.2758620689655172
monkeyM_session-o080506002-22_lfp-1,M,2008-05-06,matched_short,power_frequency,1,1,0.2758620689655172
monkeyM_session-o080506002-22_lfp-1,M,2008-05-06,matched_short,power_frequency,1,2,0.1379310344827586
monkeyM_session-o080506002-22_lfp-1,M,2008-05-06,matched_short,power_frequency,1,3,0.1379310344827586
monkeyM_session-o080506002-22_lfp-1,M,2008-05-06,matched_short,power_frequency,1,4,0.0344827586206896
monkeyM_session-o080506002-22_lfp-1,M,2008-05-06,matched_short,power_frequency,1,5,0.2413793103448276
monkeyM_session-o080506002-22_lfp-1,M,2008-05-06,matched_short,power_frequency,1,6,0.1724137931034483
monkeyM_session-o080506002-22_lfp-1,M,2008-05-06,matched_short,power_frequency,2,1,0.1724137931034483
monkeyM_session-o080506002-22_lfp-1,M,2008-05-06,matched_short,power_frequency,2,2,0.1724137931034483
monkeyM_session-o080506002-22_lfp-1,M,2008-05-06,matched_short,power_frequency,2,3,0.0344827586206896
monkeyM_session-o080506002-22_lfp-1,M,2008-05-06,matched_short,power_frequency,2,4,0.1379310344827586
monkeyM_session-o080506002-22_lfp-1,M,2008-05-06,matched_short,power_frequency,2,5,0.2068965517241379
monkeyM_session-o080506002-22_lfp-1,M,2008-05-06,matched_short,power_frequency,2,6,0.2758620689655172
monkeyM_session-o080506002-22_lfp-1,M,2008-05-06,matched_short,power_frequency,3,1,0.1724137931034483
monkeyM_session-o080506002-22_lfp-1,M,2008-05-06,matched_short,power_frequency,3,2,0.1724137931034483
monkeyM_session-o080506002-22_lfp-1,M,2008-05-06,matched_short,power_frequency,3,3,0.0344827586206896
monkeyM_session-o080506002-22_lfp-1,M,2008-05-06,matched_short,power_frequency,3,4,0.1379310344827586
monkeyM_session-o080506002-22_lfp-1,M,2008-05-06,matched_short,power_frequency,3,5,0.2413793103448276
monkeyM_session-o080506002-22_lfp-1,M,2008-05-06,matched_short,power_frequency,3,6,0.2413793103448276
monkeyM_session-o080506002-22_lfp-1,M,2008-05-06,matched_short,power_frequency,4,1,0.1034482758620689
monkeyM_session-o080506002-22_lfp-1,M,2008-05-06,matched_short,power_frequency,4,2,0.1724137931034483
monkeyM_session-o080506002-22_lfp-1,M,2008-05-06,matched_short,power_frequency,4,3,0.1034482758620689
monkeyM_session-o080506002-22_lfp-1,M,2008-05-06,matched_short,power_frequency,4,4,0.1724137931034483
monkeyM_session-o080506002-22_lfp-1,M,2008-05-06,matched_short,power_frequency,4,5,0.2413793103448276
monkeyM_session-o080506002-22_lfp-1,M,2008-05-06,matched_short,power_frequency,4,6,0.2068965517241379
monkeyM_session-o080506002-22_lfp-1,M,2008-05-06,matched_short,power_frequency,5,1,0.2413793103448276
monkeyM_session-o080506002-22_lfp-1,M,2008-05-06,matched_short,power_frequency,5,2,0.2068965517241379
monkeyM_session-o080506002-22_lfp-1,M,2008-05-06,matched_short,power_frequency,5,3,0.1724137931034483
monkeyM_session-o080506002-22_lfp-1,M,2008-05-06,matched_short,power_frequency,5,4,0.1034482758620689
monkeyM_session-o080506002-22_lfp-1,M,2008-05-06,matched_short,power_frequency,5,5,0.1379310344827586
monkeyM_session-o080506002-22_lfp-1,M,2008-05-06,matched_short,power_frequency,5,6,0.1379310344827586
monkeyM_session-o080506002-22_lfp-1,M,2008-05-06,matched_short,power_frequency,6,1,0.2068965517241379
monkeyM_session-o080506002-22_lfp-1,M,2008-05-06,matched_short,power_frequency,6,2,0.1724137931034483
monkeyM_session-o080506002-22_lfp-1,M,2008-05-06,matched_short,power_frequency,6,3,0.1034482758620689
monkeyM_session-o080506002-22_lfp-1,M,2008-05-06,matched_short,power_frequency,6,4,0.1034482758620689
monkeyM_session-o080506002-22_lfp-1,M,2008-05-06,matched_short,power_frequency,6,5,0.1379310344827586
monkeyM_session-o080506002-22_lfp-1,M,2008-05-06,matched_short,power_frequency,6,6,0.2758620689655172
monkeyM_session-o080506002-22_lfp-1,M,2008-05-06,matched_short,torus,1,1,0.1379310344827586
monkeyM_session-o080506002-22_lfp-1,M,2008-05-06,matched_short,torus,1,2,0.2758620689655172
monkeyM_session-o080506002-22_lfp-1,M,2008-05-06,matched_short,torus,1,3,0.1034482758620689
monkeyM_session-o080506002-22_lfp-1,M,2008-05-06,matched_short,torus,1,4,0.1379310344827586
monkeyM_session-o080506002-22_lfp-1,M,2008-05-06,matched_short,torus,1,5,0.1724137931034483
monkeyM_session-o080506002-22_lfp-1,M,2008-05-06,matched_short,torus,1,6,0.1724137931034483
monkeyM_session-o080506002-22_lfp-1,M,2008-05-06,matched_short,torus,2,1,0.1724137931034483
monkeyM_session-o080506002-22_lfp-1,M,2008-05-06,matched_short,torus,2,2,0.3103448275862069
monkeyM_session-o080506002-22_lfp-1,M,2008-05-06,matched_short,torus,2,3,0.2758620689655172
monkeyM_session-o080506002-22_lfp-1,M,2008-05-06,matched_short,torus,2,4,0.0689655172413793
monkeyM_session-o080506002-22_lfp-1,M,2008-05-06,matched_short,torus,2,5,0.1034482758620689
monkeyM_session-o080506002-22_lfp-1,M,2008-05-06,matched_short,torus,2,6,0.0689655172413793
monkeyM_session-o080506002-22_lfp-1,M,2008-05-06,matched_short,torus,3,1,0.3103448275862069
monkeyM_session-o080506002-22_lfp-1,M,2008-05-06,matched_short,torus,3,2,0.1379310344827586
monkeyM_session-o080506002-22_lfp-1,M,2008-05-06,matched_short,torus,3,3,0.1724137931034483
monkeyM_session-o080506002-22_lfp-1,M,2008-05-06,matched_short,torus,3,4,0.0689655172413793
monkeyM_session-o080506002-22_lfp-1,M,2008-05-06,matched_short,torus,3,5,0.1034482758620689
monkeyM_session-o080506002-22_lfp-1,M,2008-05-06,matched_short,torus,3,6,0.2068965517241379
monkeyM_session-o080506002-22_lfp-1,M,2008-05-06,matched_short,torus,4,1,0.2068965517241379
monkeyM_session-o080506002-22_lfp-1,M,2008-05-06,matched_short,torus,4,2,0.1724137931034483
monkeyM_session-o080506002-22_lfp-1,M,2008-05-06,matched_short,torus,4,3,0.2413793103448276
monkeyM_session-o080506002-22_lfp-1,M,2008-05-06,matched_short,torus,4,4,0.1034482758620689
monkeyM_session-o080506002-22_lfp-1,M,2008-05-06,matched_short,torus,4,5,0.0689655172413793
monkeyM_session-o080506002-22_lfp-1,M,2008-05-06,matched_short,torus,4,6,0.2068965517241379
monkeyM_session-o080506002-22_lfp-1,M,2008-05-06,matched_short,torus,5,1,0.1724137931034483
monkeyM_session-o080506002-22_lfp-1,M,2008-05-06,matched_short,torus,5,2,0.1379310344827586
monkeyM_session-o080506002-22_lfp-1,M,2008-05-06,matched_short,torus,5,3,0.1034482758620689
monkeyM_session-o080506002-22_lfp-1,M,2008-05-06,matched_short,torus,5,4,0.1379310344827586
monkeyM_session-o080506002-22_lfp-1,M,2008-05-06,matched_short,torus,5,5,0.2068965517241379
monkeyM_session-o080506002-22_lfp-1,M,2008-05-06,matched_short,torus,5,6,0.2413793103448276
monkeyM_session-o080506002-22_lfp-1,M,2008-05-06,matched_short,torus,6,1,0.2068965517241379
monkeyM_session-o080506002-22_lfp-1,M,2008-05-06,matched_short,torus,6,2,0.1379310344827586
monkeyM_session-o080506002-22_lfp-1,M,2008-05-06,matched_short,torus,6,3,0.1034482758620689
monkeyM_session-o080506002-22_lfp-1,M,2008-05-06,matched_short,torus,6,4,0.2068965517241379
monkeyM_session-o080506002-22_lfp-1,M,2008-05-06,matched_short,torus,6,5,0.1724137931034483
monkeyM_session-o080506002-22_lfp-1,M,2008-05-06,matched_short,torus,6,6,0.1724137931034483
monkeyM_session-o080506002-22_lfp-1,M,2008-05-06,matched_short,torus_all_bands,1,1,0.1034482758620689
monkeyM_session-o080506002-22_lfp-1,M,2008-05-06,matched_short,torus_all_bands,1,2,0.2413793103448276
monkeyM_session-o080506002-22_lfp-1,M,2008-05-06,matched_short,torus_all_bands,1,3,0.2413793103448276
monkeyM_session-o080506002-22_lfp-1,M,2008-05-06,matched_short,torus_all_bands,1,4,0.1034482758620689
monkeyM_session-o080506002-22_lfp-1,M,2008-05-06,matched_short,torus_all_bands,1,5,0.2068965517241379
monkeyM_session-o080506002-22_lfp-1,M,2008-05-06,matched_short,torus_all_bands,1,6,0.1034482758620689
monkeyM_session-o080506002-22_lfp-1,M,2008-05-06,matched_short,torus_all_bands,2,1,0.2413793103448276
monkeyM_session-o080506002-22_lfp-1,M,2008-05-06,matched_short,torus_all_bands,2,2,0.2758620689655172
monkeyM_session-o080506002-22_lfp-1,M,2008-05-06,matched_short,torus_all_bands,2,3,0.1724137931034483
monkeyM_session-o080506002-22_lfp-1,M,2008-05-06,matched_short,torus_all_bands,2,4,0.1034482758620689
monkeyM_session-o080506002-22_lfp-1,M,2008-05-06,matched_short,torus_all_bands,2,5,0.1034482758620689
monkeyM_session-o080506002-22_lfp-1,M,2008-05-06,matched_short,torus_all_bands,2,6,0.1034482758620689
monkeyM_session-o080506002-22_lfp-1,M,2008-05-06,matched_short,torus_all_bands,3,1,0.2758620689655172
monkeyM_session-o080506002-22_lfp-1,M,2008-05-06,matched_short,torus_all_bands,3,2,0.1724137931034483
monkeyM_session-o080506002-22_lfp-1,M,2008-05-06,matched_short,torus_all_bands,3,3,0.2068965517241379
monkeyM_session-o080506002-22_lfp-1,M,2008-05-06,matched_short,torus_all_bands,3,4,0.1034482758620689
monkeyM_session-o080506002-22_lfp-1,M,2008-05-06,matched_short,torus_all_bands,3,5,0.0689655172413793
monkeyM_session-o080506002-22_lfp-1,M,2008-05-06,matched_short,torus_all_bands,3,6,0.1724137931034483
monkeyM_session-o080506002-22_lfp-1,M,2008-05-06,matched_short,torus_all_bands,4,1,0.1034482758620689
monkeyM_session-o080506002-22_lfp-1,M,2008-05-06,matched_short,torus_all_bands,4,2,0.1724137931034483
monkeyM_session-o080506002-22_lfp-1,M,2008-05-06,matched_short,torus_all_bands,4,3,0.2758620689655172
monkeyM_session-o080506002-22_lfp-1,M,2008-05-06,matched_short,torus_all_bands,4,4,0.1379310344827586
monkeyM_session-o080506002-22_lfp-1,M,2008-05-06,matched_short,torus_all_bands,4,5,0.1379310344827586
monkeyM_session-o080506002-22_lfp-1,M,2008-05-06,matched_short,torus_all_bands,4,6,0.1724137931034483
monkeyM_session-o080506002-22_lfp-1,M,2008-05-06,matched_short,torus_all_bands,5,1,0.0344827586206896
monkeyM_session-o080506002-22_lfp-1,M,2008-05-06,matched_short,torus_all_bands,5,2,0.1379310344827586
monkeyM_session-o080506002-22_lfp-1,M,2008-05-06,matched_short,torus_all_bands,5,3,0.1724137931034483
monkeyM_session-o080506002-22_lfp-1,M,2008-05-06,matched_short,torus_all_bands,5,4,0.2758620689655172
monkeyM_session-o080506002-22_lfp-1,M,2008-05-06,matched_short,torus_all_bands,5,5,0.2068965517241379
monkeyM_session-o080506002-22_lfp-1,M,2008-05-06,matched_short,torus_all_bands,5,6,0.1724137931034483
monkeyM_session-o080506002-22_lfp-1,M,2008-05-06,matched_short,torus_all_bands,6,1,0.2413793103448276
monkeyM_session-o080506002-22_lfp-1,M,2008-05-06,matched_short,torus_all_bands,6,2,0.1379310344827586
monkeyM_session-o080506002-22_lfp-1,M,2008-05-06,matched_short,torus_all_bands,6,3,0.0689655172413793
monkeyM_session-o080506002-22_lfp-1,M,2008-05-06,matched_short,torus_all_bands,6,4,0.1724137931034483
monkeyM_session-o080506002-22_lfp-1,M,2008-05-06,matched_short,torus_all_bands,6,5,0.2068965517241379
monkeyM_session-o080506002-22_lfp-1,M,2008-05-06,matched_short,torus_all_bands,6,6,0.1724137931034483
monkeyM_session-o080506002-22_lfp-1,M,2008-05-06,matched_short,torus_pca,1,1,0.2758620689655172
monkeyM_session-o080506002-22_lfp-1,M,2008-05-06,matched_short,torus_pca,1,2,0.2068965517241379
monkeyM_session-o080506002-22_lfp-1,M,2008-05-06,matched_short,torus_pca,1,3,0.0344827586206896
monkeyM_session-o080506002-22_lfp-1,M,2008-05-06,matched_short,torus_pca,1,4,0.1724137931034483
monkeyM_session-o080506002-22_lfp-1,M,2008-05-06,matched_short,torus_pca,1,5,0.0689655172413793
monkeyM_session-o080506002-22_lfp-1,M,2008-05-06,matched_short,torus_pca,1,6,0.2413793103448276
monkeyM_session-o080506002-22_lfp-1,M,2008-05-06,matched_short,torus_pca,2,1,0.2068965517241379
monkeyM_session-o080506002-22_lfp-1,M,2008-05-06,matched_short,torus_pca,2,2,0.3793103448275862
monkeyM_session-o080506002-22_lfp-1,M,2008-05-06,matched_short,torus_pca,2,3,0.1034482758620689
monkeyM_session-o080506002-22_lfp-1,M,2008-05-06,matched_short,torus_pca,2,4,0.1034482758620689
monkeyM_session-o080506002-22_lfp-1,M,2008-05-06,matched_short,torus_pca,2,5,0.0689655172413793
monkeyM_session-o080506002-22_lfp-1,M,2008-05-06,matched_short,torus_pca,2,6,0.1379310344827586
monkeyM_session-o080506002-22_lfp-1,M,2008-05-06,matched_short,torus_pca,3,1,0.2068965517241379
monkeyM_session-o080506002-22_lfp-1,M,2008-05-06,matched_short,torus_pca,3,2,0.1379310344827586
